Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
13,~,vik-keyboard-connector-horizontal,213.5278,-51.4771,0.0,top
J10,~,vik-keyboard-connector-horizontal,152.783478,-51.463911,0.0,top
J11,~,vik-keyboard-connector-horizontal,171.325478,-51.463911,0.0,top
J12,~,vik-keyboard-connector-horizontal,194.9858,-51.4771,0.0,top
J14,~,vik-keyboard-connector-horizontal,152.8265,-67.606689,180.0,top
J15,~,vik-keyboard-connector-horizontal,171.4075,-67.5982,180.0,top
J16,~,vik-keyboard-connector-horizontal,195.028822,-67.619878,180.0,top
J17,~,vik-keyboard-connector-horizontal,213.6651,-67.621502,180.0,top
J18,~,vik-keyboard-connector-horizontal,152.861978,-81.338011,0.0,top
J19,~,vik-keyboard-connector-horizontal,171.403978,-81.338011,0.0,top
J20,~,vik-keyboard-connector-horizontal,195.0643,-81.3512,0.0,top
J21,~,vik-keyboard-connector-horizontal,213.6063,-81.3512,0.0,top
J22,~,vik-keyboard-connector-horizontal,152.905,-97.480789,180.0,top
J23,~,vik-keyboard-connector-horizontal,171.486,-97.4723,180.0,top
J24,~,vik-keyboard-connector-horizontal,195.107322,-97.493978,180.0,top
J25,~,vik-keyboard-connector-horizontal,213.7436,-97.495602,180.0,top
